index,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,day,month,year,sales
272371,415,7,0,0,0,0,0,1,3,2015,0.0
558468,27,7,0,0,0,0,0,29,12,2013,0.0
76950,404,3,657,1,1,0,0,19,3,2014,5976.03
77556,683,2,862,1,0,0,0,29,1,2013,8043.458333333334
456344,920,3,591,1,1,0,0,19,3,2014,6205.478333333333
436466,758,4,569,1,0,0,0,26,6,2014,3910.81
646251,563,1,321,1,1,0,0,16,2,2015,3760.1340714285707
650464,930,6,1367,1,0,0,0,22,11,2014,7449.32
162710,756,4,0,0,1,1,0,4,6,2015,0.0
100327,49,2,546,1,1,0,0,13,1,2015,8878.175
374540,787,4,968,1,0,0,1,23,7,2015,7877.76
399143,782,4,472,1,0,0,0,19,9,2013,4718.83
44740,897,7,0,0,0,0,0,20,4,2014,0.0
674144,933,1,965,1,0,0,0,9,12,2013,7303.53
81595,218,2,804,1,0,0,1,7,4,2015,5987.465333333334
416724,554,3,499,1,1,0,1,9,10,2013,4393.626666666667
632687,362,1,1337,1,1,0,1,12,8,2013,12366.004666666666
351899,655,3,560,1,0,0,0,9,4,2014,5998.341666666666
515940,785,3,461,1,0,0,1,31,12,2014,4863.949047619048
567411,690,3,866,1,1,0,0,19,3,2014,6368.605833333332
274598,1103,7,0,0,0,0,0,15,2,2015,0.0
417880,431,1,1367,1,1,0,0,2,6,2014,16190.92
453710,127,2,642,1,1,0,0,24,9,2013,6219.78
597622,579,5,0,0,1,1,1,29,3,2013,0.0
223346,248,6,1139,1,0,0,0,3,8,2013,7859.775
630018,962,6,0,0,0,0,0,11,1,2014,0.0
355860,224,2,515,1,1,0,1,26,3,2013,7333.594999999998
360080,208,3,355,1,1,0,1,19,6,2013,2801.43
129544,401,1,1063,1,1,0,0,30,3,2015,13370.21
422545,503,7,0,0,0,0,0,29,9,2013,0.0
174199,221,4,562,1,1,0,0,5,3,2015,5660.405476190475
118613,268,7,0,0,0,0,0,2,11,2014,0.0
60310,799,2,927,1,1,0,1,27,8,2013,10932.42
328458,260,6,894,1,0,0,0,25,10,2014,6241.235833333334
200661,1041,2,594,1,0,0,0,10,3,2015,5073.115333333333
179581,350,2,533,1,1,0,0,18,6,2013,7724.22
587612,286,7,0,0,0,0,0,5,4,2015,0.0
320169,620,2,709,1,1,0,0,4,6,2013,7813.063333333333
37194,521,1,484,1,1,0,0,17,6,2013,6430.54
685427,649,4,435,1,1,0,0,27,11,2014,4324.298666666667
125422,1059,2,1239,1,1,0,0,2,6,2015,9902.262833333334
24499,486,6,373,1,0,0,0,28,6,2014,2970.98
281806,252,4,642,1,0,0,0,17,10,2013,7895.6675
540511,656,3,421,1,1,0,0,15,5,2013,3759.1966666666663
28689,642,5,394,1,0,0,0,12,9,2014,2784.536666666667
165066,655,5,761,1,1,0,0,8,5,2015,9101.33
555963,992,3,627,1,0,0,0,26,6,2013,4872.25
610614,143,2,731,1,1,0,0,2,6,2015,8747.96
64013,421,5,941,1,1,0,1,18,7,2014,8894.21
30639,246,4,1157,1,1,0,0,2,10,2014,9139.478000000001
418604,960,1,720,1,1,0,0,28,4,2014,9883.486666666666
468037,313,5,697,1,0,0,0,17,1,2014,6288.883000000001
271589,291,6,534,1,0,0,0,29,6,2013,5280.99
77924,924,6,333,1,0,0,0,31,5,2014,3093.9366666666665
247149,337,2,430,1,1,0,1,13,8,2013,6096.872833333335
576822,1024,4,607,1,0,0,0,12,3,2015,4217.91
108538,56,3,402,1,1,0,0,22,1,2014,6130.052238095237
645670,507,3,532,1,0,0,0,9,4,2014,5926.397023809524
601663,970,5,406,1,0,0,0,15,3,2013,3228.3074999999994
502588,846,2,828,1,0,0,0,23,6,2015,7581.99
66732,549,3,582,1,0,0,0,27,8,2014,4699.71
627113,1095,4,852,1,1,0,1,28,3,2013,6700.15
691184,859,5,709,1,1,0,0,12,4,2013,7280.423333333332
467913,914,2,1178,1,1,0,1,29,7,2014,10433.38
304890,888,2,634,1,0,0,0,23,6,2015,6194.810666666665
274018,442,2,517,1,1,0,0,4,11,2014,5811.475833333334
644430,34,6,905,1,0,0,0,9,3,2013,7338.420833333333
669009,199,4,581,1,0,0,0,10,7,2014,6849.856666666667
518722,854,4,657,1,1,1,0,4,6,2015,6697.37
505976,611,2,485,1,1,0,0,21,1,2014,6214.3
291572,808,4,528,1,0,0,1,9,4,2015,5770.64
39071,1105,4,410,1,0,0,0,22,1,2015,3485.747333333333
319154,866,5,445,1,0,0,0,24,4,2015,5838.15
166603,222,6,367,1,0,0,0,28,9,2013,3164.139816378067
428262,476,2,753,1,1,0,0,24,9,2013,7614.009333333333
20314,800,1,494,1,0,0,0,26,5,2014,4571.4025
603091,330,1,408,1,0,0,0,24,3,2014,3492.689166666667
500421,507,3,648,1,1,0,0,7,1,2015,7955.974809523809
388016,98,7,0,0,0,0,0,2,6,2013,0.0
268257,1026,2,1044,1,0,0,0,28,1,2014,7370.65
216326,990,5,719,1,0,0,0,4,10,2013,6660.576666666666
40755,8,6,345,1,0,0,0,10,1,2015,2686.1071666666667
8654,611,3,566,1,1,0,1,31,7,2013,6548.012833333334
37301,257,2,777,1,1,0,0,13,8,2013,7464.04
485623,840,4,1189,1,1,0,0,16,4,2015,8454.716666666667
214073,848,5,998,1,1,0,1,31,7,2015,10163.74
406145,124,6,297,1,0,0,0,12,7,2014,2595.293333333333
397642,1028,2,438,1,0,0,1,31,12,2013,3791.4225000000006
273960,95,2,1099,1,1,0,0,24,9,2013,10403.13
12104,208,1,323,1,0,0,0,28,10,2013,2191.1079999999997
361202,249,2,449,1,0,0,0,8,7,2014,3720.349
79347,887,3,614,1,1,0,0,20,3,2013,7299.631666666667
462803,73,1,601,1,1,0,1,28,4,2014,6105.7080000000005
141713,13,4,501,1,1,0,1,2,4,2015,5675.165
703618,1049,2,580,1,0,0,1,3,9,2013,3252.17
308360,144,4,769,1,1,0,0,5,2,2015,8387.053
317995,847,3,1018,1,1,0,1,14,8,2013,7496.24
364408,796,3,717,1,0,0,0,8,5,2013,7278.26
27886,396,4,1139,1,0,0,0,11,6,2015,9432.69
706814,1080,7,0,0,0,0,0,15,9,2013,0.0
514516,675,5,338,1,0,0,0,26,9,2014,2898.4023333333334
577373,1099,1,1236,1,1,0,0,1,12,2014,11728.11
190561,791,1,858,1,0,0,0,11,5,2015,7326.415
92512,1014,2,1476,1,0,0,0,24,3,2015,11905.031666666666
565163,487,2,737,1,1,0,0,4,11,2014,8391.27
500246,427,3,701,1,0,0,1,13,2,2013,5859.98
223708,254,5,282,1,1,0,0,14,11,2014,3383.771666666667
555732,43,5,710,1,0,0,0,31,1,2014,6065.515
654150,1074,2,421,1,0,0,0,9,6,2015,3556.3785000000003
558350,549,6,380,1,0,0,0,29,6,2013,3571.1126666666673
52167,1095,2,720,1,1,0,0,8,1,2013,5565.27
296981,295,1,612,1,0,0,1,28,10,2013,4273.002428571428
332143,319,1,863,1,0,0,1,14,10,2013,7670.89
426553,1002,4,642,1,0,0,0,10,4,2014,5273.77
481847,448,6,544,1,0,0,0,6,12,2014,5838.76
100496,527,2,1046,1,0,0,1,3,9,2013,9850.26
706377,255,5,652,1,1,0,0,12,4,2013,5575.1675
599169,581,5,651,1,1,0,0,4,7,2014,6064.705
55294,185,6,550,1,0,0,0,5,1,2013,7001.595
218737,244,6,538,1,0,0,0,22,11,2014,4803.652
266706,1082,6,877,1,0,0,0,5,1,2013,5663.3
441953,216,5,837,1,1,0,0,20,3,2015,7057.22
127184,350,4,508,1,1,0,0,5,3,2015,6714.283333333334
312223,748,1,822,1,1,0,0,31,3,2014,10437.44
583377,718,1,962,1,0,0,0,8,12,2014,9101.63
523743,739,5,789,1,1,0,0,21,2,2014,9971.291333333333
476775,614,7,0,0,0,0,0,21,12,2014,0.0
620142,673,2,615,1,1,0,0,18,2,2014,7640.566071428571
460092,83,1,367,1,0,0,0,10,6,2013,3476.31
169260,976,3,598,1,0,0,0,18,9,2013,5544.171333333333
177084,637,6,518,1,0,0,0,6,4,2013,6162.0419999999995
645354,122,2,714,1,1,0,0,7,1,2014,6172.361666666668
645737,898,1,1013,1,1,0,0,24,11,2014,10505.912
272578,1080,4,710,1,0,0,0,26,6,2014,8040.85
600374,291,1,1290,1,1,0,0,30,3,2015,12182.475833333336
566038,24,4,711,1,0,0,1,3,1,2013,7279.176666666667
381862,1096,7,0,0,0,0,0,18,8,2013,0.0
535335,637,5,860,1,0,0,0,30,5,2014,8181.24
499411,1002,2,850,1,1,0,0,2,6,2015,8380.37
625219,666,1,497,1,0,0,0,10,3,2014,4860.966666666667
61823,1089,7,0,0,0,0,0,24,11,2013,0.0
653471,334,6,515,1,0,0,0,31,8,2013,4794.057499999999
441789,300,6,951,1,0,0,1,30,8,2014,7809.18
155435,207,1,1166,1,0,0,0,22,9,2014,8902.72
226567,683,3,854,1,0,0,0,27,5,2015,8146.665
107330,1094,2,394,1,1,0,0,14,5,2013,4661.08
149417,700,4,576,1,0,0,0,9,7,2015,4556.54
191690,959,2,744,1,0,0,0,26,8,2014,6315.04
146544,766,7,0,0,0,0,0,22,6,2014,0.0
383603,1011,6,977,1,0,0,0,8,6,2013,7257.903999999999
452941,570,5,676,1,0,0,0,13,12,2013,4443.31
629103,685,2,689,1,1,0,0,10,9,2013,8281.3
30258,158,3,681,1,1,0,1,16,4,2014,8729.04
219501,66,5,522,1,0,0,1,29,5,2015,5641.32388888889
528607,76,2,1080,1,1,0,0,30,7,2013,10918.5
397525,572,3,458,1,0,0,0,16,10,2013,5279.032761904761
314281,184,6,510,1,0,0,0,11,10,2014,5107.8966666666665
489418,1034,5,775,1,1,0,0,6,12,2013,6656.9766666666665
182776,559,7,0,0,0,0,0,11,8,2013,0.0
335928,862,2,1561,1,0,0,1,23,12,2014,12986.53
198358,171,2,962,1,1,0,0,11,11,2014,9726.305333333334
400219,33,7,0,0,0,0,0,7,12,2014,0.0
427476,936,4,963,1,1,0,0,27,11,2014,7714.566
31892,948,2,1682,1,1,0,0,18,2,2014,6587.16
109374,371,6,551,1,0,0,0,4,5,2013,6749.93
385320,242,1,378,1,1,0,0,5,5,2014,4908.65
517169,133,5,622,1,0,0,0,17,1,2014,5780.331666666668
369733,1031,1,681,1,1,0,0,15,12,2014,8831.752333333334
71343,850,4,710,1,1,0,0,7,2,2013,7193.085999999999
42363,860,5,833,1,1,0,0,5,6,2015,6730.21
612665,836,6,301,1,0,0,0,6,7,2013,2500.4675
428563,965,6,908,1,0,0,0,30,11,2013,7221.7425
610249,1096,1,763,1,1,0,0,26,1,2015,7117.35
669222,504,3,836,1,1,0,1,3,9,2014,6286.055
484348,230,1,1327,1,0,0,1,30,12,2013,11943.09
194089,826,1,1170,1,1,0,0,2,12,2013,10772.62
328888,975,2,767,1,1,0,1,30,7,2013,8086.711166666667
485880,602,2,547,1,0,0,1,28,10,2014,4969.64
699868,953,5,553,1,1,0,0,19,9,2014,5369.451999999999
265929,187,6,491,1,0,0,0,2,11,2013,3980.245833333334
154648,792,5,599,1,0,0,0,18,10,2013,5583.994166666667
376328,1035,4,744,1,1,0,0,27,11,2014,6223.27
530275,523,3,1515,1,1,0,1,29,7,2015,12863.55
441109,723,4,461,1,0,0,1,4,4,2013,4913.46
26050,1025,7,0,0,0,0,0,26,5,2013,0.0
247671,18,7,0,0,0,0,0,4,1,2015,0.0
